codigo,colonia,municipio,estato,estado,municipio
97000,Mérida Centro,Mérida,Yucatán,31,50
97000,Itzaes,Mérida,Yucatán,31,50
97000,Madrid,Mérida,Yucatán,31,50
97000,Villa Fontana,Mérida,Yucatán,31,50
97000,La Quinta,Mérida,Yucatán,31,50
97000,Los Cocos,Mérida,Yucatán,31,50
97000,Privada Del Maestro,Mérida,Yucatán,31,50
97000,Jardines de San Sebastian,Mérida,Yucatán,31,50
97003,Los Reyes,Mérida,Yucatán,31,50
97050,Alcalá Martín,Mérida,Yucatán,31,50
97050,Yucatán,Mérida,Yucatán,31,50
97059,Señorial,Mérida,Yucatán,31,50
97060,Carrillo Ancona,Mérida,Yucatán,31,50
97069,Inalámbrica,Mérida,Yucatán,31,50
97070,Dolores Patron,Mérida,Yucatán,31,50
97070,Garcia Gineres,Mérida,Yucatán,31,50
97070,El Pedregal,Mérida,Yucatán,31,50
97080,La Huerta,Mérida,Yucatán,31,50
97088,Santa Cecilia,Mérida,Yucatán,31,50
97089,Cupules,Mérida,Yucatán,31,50
97098,Lourdes,Mérida,Yucatán,31,50
97099,Waspa,Mérida,Yucatán,31,50
97100,Itzimna,Mérida,Yucatán,31,50
97100,Itzimna,Mérida,Yucatán,31,50
97100,Itzimna 2,Mérida,Yucatán,31,50
97100,Rinconada Itzmina,Mérida,Yucatán,31,50
97107,Manola,Mérida,Yucatán,31,50
97108,Las Arboledas,Mérida,Yucatán,31,50
97109,Ferrocarrileros,Mérida,Yucatán,31,50
97109,Jesús Carranza,Mérida,Yucatán,31,50
97110,Revolución (Cordemex),Mérida,Yucatán,31,50
97113,Montebello,Mérida,Yucatán,31,50
97113,San Antonio,Mérida,Yucatán,31,50
97113,Xaman-Tan,Mérida,Yucatán,31,50
97114,Monte Alban,Mérida,Yucatán,31,50
97114,Residencial Sol Campestre,Mérida,Yucatán,31,50
97115,Sodzil Norte,Mérida,Yucatán,31,50
97115,Montes de Ame,Mérida,Yucatán,31,50
97115,Gonzalo Guerrero,Mérida,Yucatán,31,50
97115,Residencial Montejo Norte,Mérida,Yucatán,31,50
97115,Ampliación Revolución,Mérida,Yucatán,31,50
97115,Residencial San Angelo,Mérida,Yucatán,31,50
97116,San Antonio Cucul,Mérida,Yucatán,31,50
97116,Privada San Antonio Cucul,Mérida,Yucatán,31,50
97117,San Ramon Norte,Mérida,Yucatán,31,50
97117,San Ramon Sur,Mérida,Yucatán,31,50
97117,San Ramon Norte I,Mérida,Yucatán,31,50
97117,Villareal,Mérida,Yucatán,31,50
97117,Xaman-Kab,Mérida,Yucatán,31,50
97118,Plan de Ayala,Mérida,Yucatán,31,50
97118,Villas Del Sol,Mérida,Yucatán,31,50
97118,Ampliación Plan de Ayala (Villas del Sol),Mérida,Yucatán,31,50
97119,Benito Juárez Nte,Mérida,Yucatán,31,50
97119,Villas La Hacienda,Mérida,Yucatán,31,50
97119,Gonzalo Guerrero,Mérida,Yucatán,31,50
97119,Villas del Rey,Mérida,Yucatán,31,50
97120,Campestre,Mérida,Yucatán,31,50
97120,Del Norte,Mérida,Yucatán,31,50
97120,Tecnológico,Mérida,Yucatán,31,50
97120,Ampliación del Norte (1a. Ampliación),Mérida,Yucatán,31,50
97125,México,Mérida,Yucatán,31,50
97125,Privada Nuevo México,Mérida,Yucatán,31,50
97127,Buenavista,Mérida,Yucatán,31,50
97127,Montejo,Mérida,Yucatán,31,50
97128,México Norte,Mérida,Yucatán,31,50
97128,Privada Mediterráneo,Mérida,Yucatán,31,50
97128,Residencial Colonia México,Mérida,Yucatán,31,50
